collection_id,title,alternative1,alternative2,creator,contributor,contributor,contributor,contributor,contributor,contributor,contributor,contributor,subject,subject,subject,subject,subject,publicsher,date,format,identifier,language,right,description,degree,owner,update_at,created_at
2,สารพฤกษเคมีและฤทธิ์ทางชีวภาพของมันเทศ (Ipomoea batatas L. Lam) ที่ปลูกในประเทศไทย,Phytochemical substances and biological activities of sweet potato (Ipomoea batatas L. Lam) cultivated in Thailand,,อภิรดา มารแพ้,ประสงค์ สีหานาม,เยาวลักษณ์ ศรีสุวรรณ์,อภิเดช แสงดี,,,,,,พืช --การวิเคราะห์ --วิจัย,มันเทศ --วิจัย,สารพฤกษเคมี --วิจัย,สารออกฤทธิ์ทางชีวภาพ --วิจัย,สารออกฤทธิ์ทางชีวภาพจากพืช --วิจัย,มหาวิทยาลัยมหาสารคาม,2565,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/07/Apirada_Marpae65.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนจากเงินทุนอุดหนุนการวิจัยประเภทส่งเสริมอาจารย์และนักวิจัย ประจำปีงบประมาณ 2564 มหาวิทยาลัยมหาสารคาม,,,,
2,ฤทธิ์การต้านอนุมูลอิสระและฤทธิ์ต้านมะเร็งของสารสกัดจากผักเป็ดน้ำ,รายงานวิจัยฉบับสมบูรณ์ ฤทธิ์การต้านอนุมูลอิสระและฤทธิ์ต้านมะเร็งของสารสกัดจากผักเป็ดน้ำ,,,วิจิตรา หลวงอินทร์,ทิพย์ภิยะ การีรัตน์,ธีรพร กทิศาสตร์,เบญจพร บุราณรัตน์,วรโชติ แสงหา,,,,มะเร็ง --วิจัย,สารสกัดจากพืช --วิจัย,อนุมูลอิสระ --วิจัย,แอนติออกซิแดนท์ --วิจัย,,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/11/Wijithra_Luang-in64.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณเงินรายได้ ประจำปีงบประมาณ 2564 มหาวิทยาลัยมหาสารคาม,,,,
2,พฤติกรรมภาวะผู้นำที่พึงประสงค์ของผู้บริหารมหาวิทยาลัยมหาสารคาม,,,ผ่องอำไพ จงเรียน,สมทรง ดีรัศมี,ประไพ อุนารัตน์,ฉวีวรรณ คืนสันเที่ยะ,กฤตยาวดี เกตุวงศา,พัชรนันญ ศรีแก่นจันทร์,อุทัย หามนตรี,,,ภาวะผู้นำ --วิจัย,ผู้นำ --วิจัย,ผู้บริหารสถาบันอุดมศึกษา --พฤติกรรม --วิจัย,,,มหาวิทยาลัยมหาสารคาม,2551,pdf,http://khoon.msu.ac.th/_dir/fulltext/fulltextman/full4/pongampai11116/titlepage.pdf,tha,มหาวิทยาลัยมหาสารคาม,ประกอบการอบรมตามหลักสูตรการพัฒนาสมรรถนหลักของผู้บริหารระดับกลางสายสนับสนุน มหาวิทยาลัยมหาสารคาม 2551,,,,
2,โรคติดเชื้อพยาธิสตรองจิลอยด์ในแรงงานต่างด้าว,"Strongyloidiasis in migrant workers : epidemiology, risk factors and molecular identification",,ต้องจิตร ถันชมนาง,วรารัตน์ สังวะลี,แสงจ่อย อินทจักร,จุน หน่อแก้ว,,,,,,โรคเกิดจากปรสิต --วิจัย,โรคพยาธิสตรองจิลอยด์ --วิจัย,โรคหนอนพยาธิ --วิจัย,แรงงานต่างด้าวกัมพูชา --วิจัย,แรงงานต่างด้าวพม่า --วิจัย,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/07/Tongchit_Tanshomnang64.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณรายได้ ประจำปีงบประมาณ 2564 มหาวิทยาลัยมหาสารคาม,,,,
2,การศึกษาสัตว์ป่าและสัตว์ต่างถิ่นที่เป็นแหล่งรังโรคของเชื้อแบคทีเรียดื้อยาเซฟาโลสปอริน รุ่นที่ 3 ในกรงเลี้ยง ณ สถานีศึกษาสัตว์ (MSU Mini Zoo) มหาวิทยาลัยมหาสารคาม,,,อดิเทพ คอลพุทธา,ณฐพล ภูมิพันธุ์,ธฤต ปุริโสตะโย,มณทิรา ยศพล,,,,,,การดื้อยา --วิจัย,แบคทีเรีย --วิจัย,ปฏิชีวนะ --วิจัย,สัตว์พาหะนำโรค --วิจัย,,มหาวิทยาลัยมหาสารคาม,2565,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/09/Adithep_Konputtar65.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณเงินรายได้ ประจำปีงบประมาณ 2565 มหาวิทยาลัยมหาสารคาม,,,,
2,การทบทวนงานวิจัยแบบร่มเกี่ยวกับประสิทธิภาพและความปลอดภัยของสมุนไพรต่อความจำและภาวะสมองเสื่อม ,An umbrella review on efficacy and safety of herbal medicine on cognitive function and dementia,รายงานฉบับสมบูรณ์โครงการวิจัย เรื่อง การทบทวนงานวิจัยแบบร่มเกี่ยวกับประสิทธิภาพและความปลอดภัยของสมุนไพรต่อความจำและภาวะสมองเสื่อม,,ราตรี สว่างจิตร,สรารัตน์ สโดยุ,จริยา จิรานุกูล,ช่อทิพย์ ชื่นชม,ชาญเกียรติ เพียรชนะ,ณธร ชัยญาคุณาพฤกษ์,พีรวัฒน์ จินาทองไทย,รจเรศ นิธิไพจิตร,ภาวะสมองเสื่อม --การรักษาด้วยยา --วิจัย,ยาสมุนไพร --การใช้รักษา --วิจัย,สารสกัดจากพืช --วิจัย,,,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/10/Ratree_Sawangjit64.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัยงบประมาณเงินรายได้ ประจำปีงบประมาณ พศ2564 มหาวิทยาลัยมหาสารคาม,,,,
2,การพัฒนาวิธีการจัดกิจกรรมการเรียนแบบมีส่วนร่วม ,The teaching method development of participatory learning.,,บุษบา ธระเสนา,มลฤดี เชาวรัตน์,กรรณิการ์ ชูเกียรติวัฒนา,นิตยา คอนสาร,,,,,,การสอนแบบผู้เรียนเป็นศูนย์กลาง --วิจัย,การสอนแบบร่วมมือกัน --วิจัย,,,,มหาวิทยาลัยมหาสารคาม,2551,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/09/Busaba_Tharasena51.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัยงบประมาณเงินรายได้สำนักศึกษาทั่วไป ประจำปี 2551 มหาวิทยาลัยมหาสารคาม,,,,
2,การประเมินภาวะทางโภชนาการของผู้สูงอายุและศักยภาพของพืชท้องถิ่นสำหรับแปรรูปผลิตภัณฑ์สำหรับผู้สูงอายุ,Assessment of nutritional status of elderly and potential of local plants for processing the product for elderly,โครงการวิจัยและนวัตกรรมเพื่อถ่ายทอดเทคโนโลยีสู่สู่ชุมชนฐานรากประจำปึงบประมาณ พ.ศ. 2562 สำนักงานคณะกรรมการการอุดมศึกษา,กษม ชนะวงศ์,ธิดารัตน์ เลิศวิทยากุล,พรพิมล ชูพานิช,ลัดดา พลพุทธา,,,,,,ผลิตภัณฑ์พืช --วิจัย,ผู้สูงอายุ --แง่โภชนาการ --วิจัย,ผู้สูงอายุ --สุขภาพและอนามัย --วิจัย,,,มหาวิทยาลัยมหาสารคาม,2563,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/04/kasom_chanawong63.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัยจากสำนักงานคณะกรรมการการอุดมศึกษา ประจำปีงบประมาณ 2562,,,,
2,การศึกษาไดโนเสาร์ในแหล่งโคกผาส้วม จังหวัดอุบลราชธานี เพื่อการพัฒนาองค์ความรู้ด้านบรรพชีวินวิทยา ในพื้นที่สถานีวิจัยและบริการวิชาการอีสานใต้,"Study of dinosaurs in the Khok Pa Suam locality, Ubon Ratchathani province; for the palaeontological knowledge development in the South Isan research and academic service station",,ศิตะ มานิตกุล,ธนิศ นนท์ศรีราช,ประภาสิริ วาระเพียง,อภิรัตน์ นิลพนาพรรณ,,,,,,ซากดึกดำบรรพ์ --วิจัย,ซากสัตว์มีกระดูกสันหลังดึกดำบรรพ์ --วิจัย,ไดโนเสาร์ --วิจัย,บรรพชีวินวิทยา --วิจัย,,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/03/Sita_Manitkoon64.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณเงินรายได้ ประจำปีงบประมาณ 2564 มหาวิทยาลัยมหาสารคาม,,,,
2,ตัวแบบเชิงคณิตศาสตร์เพื่อป้องกันโรคระบาดในสุกร,The SLI-SC mathematical model of African swine fever transmission among swine farms: the effect of contaminated human vector,,อินทิรา ไชยะ,กมลฉัตร ตราชู,ดิน ประทุมวรรณ์,พีรณัฐ ชูชาติ,วสันต์ ไมอักรี,,,,,การจัดการฟาร์ม --วิจัย,สุกร --โรค --วิจัย,อหิวาต์สุกร --วิจัย,อหิวาต์แอฟริกาสุกร --วิจัย,,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/02/Inthira_Chaiya64.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณรายได้ ประจำปีงบประมาณ 2564 มหาวิทยาลัยมหาสารคาม,,,,
